month,season,urbana,periurbana,urbano en ruralidad,rural
Jan,summer,22053.3,9037.9,10416.7,2768435.6
Feb,summer,22154.4,8624.0,10272.2,2709350.6
Mar,autumn,20842.9,8190.4,9739.8,2561158.0
Apr,autumn,20520.8,8386.3,10068.3,2653223.1
May,autumn,19131.6,8211.8,9945.9,2612142.2
Jun,winter,15549.7,7019.6,9745.3,2522760.0
Jul,winter,18511.9,7990.2,10272.6,2690505.7
Aug,winter,17095.1,7460.5,9917.9,2574196.7
Sep,spring,18231.2,8117.8,10272.1,2697156.7
Oct,spring,17472.7,7776.4,10066.5,2620631.7
Nov,spring,17762.1,7620.3,9508.6,2493379.7
Dec,summer,19117.4,8423.9,10286.9,2708120.0
